multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
2.0,2.0,1.0,0.5629229997930204,0.656118529357966,0.5822970094848897,0.37552588256813607,0.3643410852713178,0.7223719676549866,0.6601779755283649,4,class_weight_dissatisfied_3_neutral_2
2.5,1.0,1.0,0.5627922642346145,0.7005670385952076,0.5966454977749766,0.3607097128223889,0.5426356589147286,0.40970350404312667,0.8375973303670745,4,class_weight_dissatisfied_3_neutral_2
2.5,2.0,1.0,0.5584496864021417,0.6489848179989025,0.5900739173082145,0.3905249679897567,0.4186046511627907,0.6981132075471698,0.6535038932146829,4,class_weight_dissatisfied_3_neutral_2
1.5,2.0,1.0,0.556000985887574,0.6614230839582952,0.5643695755242836,0.36217303822937624,0.27906976744186046,0.7466307277628033,0.6674082313681868,4,class_weight_dissatisfied_3_neutral_2
1.2,2.0,1.0,0.5427921789002134,0.6621547466617889,0.5485359008990405,0.356868483629047,0.21705426356589147,0.7580862533692723,0.6704671857619577,4,class_weight_dissatisfied_3_neutral_2
1.0,2.0,1.0,0.5221991679149903,0.6605085055789282,0.5322429099751521,0.358148893360161,0.16020671834625322,0.7654986522911051,0.6710233592880979,4,class_weight_dissatisfied_3_neutral_2
1.5,1.2,1.0,0.6015110646883787,0.7185442574981712,0.5933635950542392,0.3163862472567666,0.40463917525773196,0.5559299191374663,0.8195216907675195,5,class_weight_dissatisfied_3_neutral_2
1.2,1.0,1.0,0.5989502391798948,0.7293343087051939,0.5804325489803465,0.30724213606437456,0.38402061855670105,0.49326145552560646,0.8640155728587319,5,class_weight_dissatisfied_3_neutral_2
1.2,1.2,1.0,0.5980771930471375,0.7205559619604974,0.5820641221747165,0.31163130943672274,0.3556701030927835,0.5673854447439353,0.8231368186874305,5,class_weight_dissatisfied_3_neutral_2
1.0,1.2,1.0,0.5952121983379378,0.7218361375274324,0.5740939990905751,0.30888807607900515,0.31958762886597936,0.578167115902965,0.8245272525027809,5,class_weight_dissatisfied_3_neutral_2
1.0,1.0,1.0,0.5951032506927074,0.7298829553767374,0.5707975423580997,0.305596196049744,0.34536082474226804,0.5013477088948787,0.8656840934371524,5,class_weight_dissatisfied_3_neutral_2
1.5,1.0,1.0,0.5931000967488214,0.7240307242136065,0.5850441435207431,0.31602048280907097,0.42010309278350516,0.4757412398921833,0.8592880978865406,5,class_weight_dissatisfied_3_neutral_2
1.5,1.5,1.0,0.5928630814729761,0.6987929773226043,0.5891130385844953,0.33119970738844184,0.36855670103092786,0.6401617250673854,0.7586206896551724,5,class_weight_dissatisfied_3_neutral_2
