experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,class_weight,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
class_weight_search,class_weight_dissatisfied_4_neutral_2,1,5,Extra Trees,6834,5467,20,6.580092199990759,0.134007799992105,6.714099999982864,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.6286049380265908,0.7410387710314558,0.6160288961925741,0.2948061448427213,0.4536082474226804,0.5390835579514824,0.8553948832035595
class_weight_search,class_weight_dissatisfied_4_neutral_2,2,5,Extra Trees,6834,5467,20,6.5726605000090785,0.14398620001156814,6.716646700020647,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.5873214292388644,0.7307973664959766,0.5733215324254147,0.3006583760058522,0.35051546391752575,0.5040431266846361,0.8654060066740823
class_weight_search,class_weight_dissatisfied_4_neutral_2,3,5,Extra Trees,6834,5467,20,8.082209500018507,0.1455326000286732,8.22774210004718,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.6174640399456517,0.7425018288222385,0.5999596690351011,0.2940746159473299,0.3917525773195876,0.5471698113207547,0.8609566184649611
class_weight_search,class_weight_dissatisfied_4_neutral_2,4,5,Extra Trees,6834,5467,20,9.638199499982875,0.14567950001219288,9.783878999995068,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.5869502872096541,0.7212874908558888,0.5735772689060387,0.3196781272860278,0.3711340206185567,0.49865229110512127,0.8509454949944383
class_weight_search,class_weight_dissatisfied_4_neutral_2,5,5,Extra Trees,6834,5468,20,8.467770499992184,0.1901132999919355,8.65788379998412,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.549683668279016,0.7218155197657394,0.5328994380298765,0.30307467057101023,0.25,0.4743935309973046,0.8743047830923248
class_weight_search,class_weight_dissatisfied_5_neutral_2,1,5,Extra Trees,6834,5467,20,7.248311000003014,0.15072559998952784,7.399036599992542,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.6253866017133937,0.7395757132406731,0.6187801677940822,0.29773226042428674,0.4742268041237113,0.5256064690026954,0.8565072302558399
class_weight_search,class_weight_dissatisfied_5_neutral_2,2,5,Extra Trees,6834,5467,20,7.514419599989196,0.1322404000093229,7.646659999998519,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.5836552831719786,0.7256766642282371,0.5736912020272965,0.30870519385515727,0.3711340206185567,0.48787061994609165,0.8620689655172413
class_weight_search,class_weight_dissatisfied_5_neutral_2,3,5,Extra Trees,6834,5467,20,7.516329699981725,0.13981280001462437,7.656142499996349,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.6174001555086467,0.7446964155084126,0.6025545891159827,0.29334308705193857,0.4020618556701031,0.5390835579514824,0.8665183537263627
class_weight_search,class_weight_dissatisfied_5_neutral_2,4,5,Extra Trees,6834,5467,20,7.41098170002806,0.15552920001209714,7.566510900040157,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.586820118408676,0.7205559619604974,0.578282393595784,0.3196781272860278,0.3917525773195876,0.49326145552560646,0.8498331479421579
class_weight_search,class_weight_dissatisfied_5_neutral_2,5,5,Extra Trees,6834,5468,20,8.346075499983272,0.2031630999990739,8.549238599982345,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.5471010354767564,0.718887262079063,0.5329346777608212,0.3067349926793558,0.2604166666666667,0.46630727762803237,0.8720800889877642
