experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,class_weight,recall_dissatisfied,recall_neutral,recall_satisfied,base_class_weight_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied
ordinal_classification,ordinal_random_forest_decomposition,4,5,Random Forest,6834,5467,20,2.9422848999965936,0.09353409998584539,3.035818999982439,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.555899431548572,0.7132406730065838,0.5643726617011896,0.34162399414776884,,,,,,,,
ordinal_classification,ordinal_random_forest_decomposition,5,5,Random Forest,6834,5468,20,2.8410867999773473,0.08342870004707947,2.9245155000244267,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.5377181742172708,0.712298682284041,0.5356811905578093,0.3191800878477306,,,,,,,,
class_weight_search,class_weight_balanced,1,5,Extra Trees,6834,5467,20,4.58506029995624,0.08309999998891726,4.668160299945157,Baseline Extra Trees balanced class weights.,0.616963822773665,0.7293343087051939,0.6253240997019286,0.3094367227505486,balanced,0.5154639175257731,0.522911051212938,0.8375973303670745,,,,
class_weight_search,class_weight_balanced,2,5,Extra Trees,6834,5467,20,4.577291599998716,0.10246749996440485,4.679759099963121,Baseline Extra Trees balanced class weights.,0.6018120964098056,0.7286027798098025,0.6055040742630468,0.3035844915874177,balanced,0.4536082474226804,0.5175202156334232,0.8453837597330367,,,,
class_weight_search,class_weight_balanced,3,5,Extra Trees,6834,5467,20,4.55982349999249,0.07590160000836477,4.635725100000855,Baseline Extra Trees balanced class weights.,0.5996271882193013,0.7271397220190198,0.6013701709673741,0.3152889539136796,balanced,0.422680412371134,0.5471698113207547,0.8342602892102335,,,,
class_weight_search,class_weight_balanced,4,5,Extra Trees,6834,5467,20,4.727726400014944,0.1140968999825418,4.841823299997486,Baseline Extra Trees balanced class weights.,0.5938403856195887,0.7154352596927579,0.5973474189207636,0.3291880029261156,balanced,0.44329896907216493,0.5256064690026954,0.8231368186874305,,,,
class_weight_search,class_weight_balanced,5,5,Extra Trees,6834,5468,20,4.410498200042639,0.07863820000784472,4.489136400050484,Baseline Extra Trees balanced class weights.,0.5493264254072899,0.7159590043923866,0.539237498838182,0.31112737920937045,balanced,0.28125,0.4743935309973046,0.8620689655172413,,,,
class_weight_search,class_weight_equal_1_1_1,1,5,Extra Trees,6834,5467,20,4.072365800035186,0.08973690000129864,4.162102700036485,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5936685036463527,0.7490855888807608,0.5557541846647358,0.2918800292611558,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.28865979381443296,0.4609164420485175,0.917686318131257,,,,
class_weight_search,class_weight_equal_1_1_1,2,5,Extra Trees,6834,5467,20,4.305740399984643,0.07706129999132827,4.382801699975971,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5482335530472411,0.7403072421360644,0.5206483587948307,0.29261155815654716,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.18556701030927836,0.4609164420485175,0.9154616240266963,,,,
class_weight_search,class_weight_equal_1_1_1,3,5,Extra Trees,6834,5467,20,4.503578300005756,0.09908879996510223,4.6026670999708585,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5677677128311416,0.7381126554498902,0.534135544909365,0.3006583760058522,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.25773195876288657,0.42587601078167114,0.9187986651835373,,,,
class_weight_search,class_weight_equal_1_1_1,4,5,Extra Trees,6834,5467,20,4.245257500035223,0.09248709998792037,4.337744600023143,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5736033727781497,0.7388441843452817,0.536516590534552,0.29773226042428674,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.26804123711340205,0.42048517520215634,0.9210233592880979,,,,
class_weight_search,class_weight_equal_1_1_1,5,5,Extra Trees,6834,5468,20,4.803572799952235,0.08369530003983527,4.88726809999207,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5389761086757633,0.7335285505124451,0.5111231790272444,0.2979502196193265,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.20833333333333334,0.39622641509433965,0.92880978865406,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,1,5,Extra Trees,6834,5467,20,4.486128499964252,0.09472660004394129,4.580855100008193,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.6257204932457485,0.7498171177761521,0.5989182803302708,0.2896854425749817,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.3917525773195876,0.522911051212938,0.882091212458287,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,2,5,Extra Trees,6834,5467,20,4.689374799956568,0.08731969998916611,4.776694499945734,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.5720961319118508,0.7381126554498902,0.5478554913008332,0.2948061448427213,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.25773195876288657,0.49595687331536387,0.8898776418242491,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,3,5,Extra Trees,6834,5467,20,4.27321169996867,0.07595229998696595,4.3491639999556355,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.6041443191164524,0.7439648866130212,0.5743920174527655,0.2904169714703731,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.32989690721649484,0.5067385444743935,0.8865406006674083,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,4,5,Extra Trees,6834,5467,20,4.375242399983108,0.07700849999673665,4.452250899979845,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.5760050990018248,0.7286027798098025,0.5480107300725814,0.3094367227505486,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.28865979381443296,0.4743935309973046,0.8809788654060067,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,5,5,Extra Trees,6834,5468,20,4.029030999983661,0.07371900003636256,4.102750000020023,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.55864974155846,0.732796486090776,0.5337119610788467,0.2957540263543192,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.25,0.4501347708894879,0.9010011123470523,,,,
class_weight_search,class_weight_dissatisfied_3_neutral_2,1,5,Extra Trees,6834,5467,20,3.945344900013879,0.07465099997352809,4.019995899987407,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.631546177922889,0.7468910021945867,0.6104264116551213,0.28749085588880763,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.41237113402061853,0.5579514824797843,0.8609566184649611,,,,
class_weight_search,class_weight_dissatisfied_3_neutral_2,2,5,Extra Trees,6834,5467,20,3.8546968000009656,0.07624859997304156,3.930945399974007,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5885355613091202,0.7359180687637161,0.5704139093032802,0.2955376737381127,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.31958762886597936,0.522911051212938,0.8687430478309233,,,,
class_weight_search,class_weight_dissatisfied_3_neutral_2,3,5,Extra Trees,6834,5467,20,3.971826900029555,0.07413369999267161,4.045960600022227,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.6202127135762331,0.7439648866130212,0.5981632802163687,0.2918800292611558,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.38144329896907214,0.5498652291105122,0.8631813125695217,,,,
