model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,2,5,Student,Student,0.3916710857748906,0.35274039476168934,0.03893069101320129
Logistic regression,2,1,Temperature,Temperature,0.3916710857748906,0.34261612993866547,0.049054955836225156
Logistic regression,2,2,Temperature,Temperature,0.3916710857748906,0.3458987616130962,0.04577232416179444
Logistic regression,2,3,Temperature,Temperature,0.3916710857748906,0.3270014588326127,0.0646696269422779
Logistic regression,2,4,Temperature,Temperature,0.3916710857748906,0.3323487231384693,0.05932236263642132
Logistic regression,2,5,Temperature,Temperature,0.3916710857748906,0.3423453717583649,0.049325714016525746
Logistic regression,2,1,RH,RH,0.3916710857748906,0.40470681918466767,-0.01303573340977704
Logistic regression,2,2,RH,RH,0.3916710857748906,0.38438818406371444,0.007282901711176182
Logistic regression,2,3,RH,RH,0.3916710857748906,0.37416306829281826,0.01750801748207237
Logistic regression,2,4,RH,RH,0.3916710857748906,0.3724081241146684,0.019262961660222233
Logistic regression,2,5,RH,RH,0.3916710857748906,0.37934947593282525,0.012321609842065373
Logistic regression,2,1,CLO,CLO,0.3916710857748906,0.38819369174899326,0.0034773940258973624
Logistic regression,2,2,CLO,CLO,0.3916710857748906,0.39764954739320535,-0.005978461618314723
Logistic regression,2,3,CLO,CLO,0.3916710857748906,0.39286923694514614,-0.0011981511702555125
Logistic regression,2,4,CLO,CLO,0.3916710857748906,0.378551295099755,0.013119790675135634
Logistic regression,2,5,CLO,CLO,0.3916710857748906,0.3911941448900837,0.0004769408848069312
Logistic regression,2,1,CO2,CO2,0.3916710857748906,0.39359177517572386,-0.001920689400833231
Logistic regression,2,2,CO2,CO2,0.3916710857748906,0.3909768972580121,0.0006941885168785245
Logistic regression,2,3,CO2,CO2,0.3916710857748906,0.3918445135186211,-0.00017342774373046987
Logistic regression,2,4,CO2,CO2,0.3916710857748906,0.39365873469422213,-0.0019876489193315083
Logistic regression,2,5,CO2,CO2,0.3916710857748906,0.3970901357179006,-0.005419049943009957
Logistic regression,2,1,Lighting,Lighting,0.3916710857748906,0.3909187892060377,0.0007522965688529504
Logistic regression,2,2,Lighting,Lighting,0.3916710857748906,0.3897440010700244,0.0019270847048662443
Logistic regression,2,3,Lighting,Lighting,0.3916710857748906,0.38789868493179586,0.0037724008430947698
Logistic regression,2,4,Lighting,Lighting,0.3916710857748906,0.3854440963285213,0.0062269894463693465
Logistic regression,2,5,Lighting,Lighting,0.3916710857748906,0.38737022136896576,0.004300864405924865
Logistic regression,2,1,Sound,Sound,0.3916710857748906,0.3933603065225652,-0.0016892207476745802
Logistic regression,2,2,Sound,Sound,0.3916710857748906,0.3913004511034899,0.00037063467140074913
Logistic regression,2,3,Sound,Sound,0.3916710857748906,0.39865158790001026,-0.006980502125119636
Logistic regression,2,4,Sound,Sound,0.3916710857748906,0.3969709057541313,-0.005299819979240672
Logistic regression,2,5,Sound,Sound,0.3916710857748906,0.39463665505608186,-0.002965569281191238
Logistic regression,2,1,Age,Age,0.3916710857748906,0.36215239902685026,0.029518686748040368
Logistic regression,2,2,Age,Age,0.3916710857748906,0.38125878589209455,0.010412299882796072
Logistic regression,2,3,Age,Age,0.3916710857748906,0.3892690793977651,0.0024020063771255096
Logistic regression,2,4,Age,Age,0.3916710857748906,0.3729020592184645,0.01876902655642615
Logistic regression,2,5,Age,Age,0.3916710857748906,0.3763040474041844,0.015367038370706243
Logistic regression,2,1,Gender,Gender,0.3916710857748906,0.3788690307481759,0.01280205502671472
Logistic regression,2,2,Gender,Gender,0.3916710857748906,0.37917671053355617,0.012494375241334454
Logistic regression,2,3,Gender,Gender,0.3916710857748906,0.37885544218347594,0.012815643591414683
Logistic regression,2,4,Gender,Gender,0.3916710857748906,0.38034411438666754,0.011326971388223084
Logistic regression,2,5,Gender,Gender,0.3916710857748906,0.38102005181603654,0.010651033958854084
Logistic regression,2,1,EA,EA,0.3916710857748906,0.39492068842573885,-0.0032496026508482267
Logistic regression,2,2,EA,EA,0.3916710857748906,0.3770140359259791,0.01465704984891153
Logistic regression,2,3,EA,EA,0.3916710857748906,0.38044718317851783,0.011223902596372792
Logistic regression,2,4,EA,EA,0.3916710857748906,0.39503097581437685,-0.003359890039486224
Logistic regression,2,5,EA,EA,0.3916710857748906,0.364888603203386,0.026782482571504618
Logistic regression,2,1,LocationBack,LocationBack,0.3916710857748906,0.38100870136082204,0.010662384414068582
