model,domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
Extra Trees,CO2,CO2,-0.0026233311302599647,0.005504641026321856,0.5910904944918102,0.5937138256220702
Extra Trees,Vote hour,Vote hour,-0.005377619829611673,0.0076308660428468875,0.5910904944918102,0.5964681143214219
Gradient boosting,Age,Age,0.07727685132419232,0.01251344336864882,0.46358974916415024,0.3863128978399579
Gradient boosting,AC on/off,AC on/off,0.04551976904373942,0.01635480708931594,0.46358974916415024,0.4180699801204108
Gradient boosting,LocationFront,LocationFront,0.03255495068198237,0.01163458075949991,0.46358974916415024,0.43103479848216786
Gradient boosting,Temperature,Temperature,0.028334010954005853,0.011106258919738283,0.46358974916415024,0.4352557382101444
Gradient boosting,Gender,Gender,0.027804141395236296,0.01102074574936455,0.46358974916415024,0.43578560776891395
Gradient boosting,Lighting,Lighting,0.02508425923159897,0.012045027354474238,0.46358974916415024,0.43850548993255123
Gradient boosting,RH,RH,0.02261130833164275,0.012711519026019115,0.46358974916415024,0.4409784408325075
Gradient boosting,CLO,CLO,0.021496309958460892,0.011500812488584785,0.46358974916415024,0.44209343920568933
Gradient boosting,LocationBack,LocationBack,0.016821196673451597,0.010886787739955675,0.46358974916415024,0.4467685524906986
Gradient boosting,LocationMiddle,LocationMiddle,0.014450685798553688,0.010080384292147589,0.46358974916415024,0.44913906336559656
Gradient boosting,LocationLeft,LocationLeft,0.01232523195717365,0.007848594698483811,0.46358974916415024,0.4512645172069766
Gradient boosting,Ttrend,Ttrend,0.009268490870571158,0.009054832273164278,0.46358974916415024,0.45432125829357906
Gradient boosting,LocationRight,LocationRight,0.00629572632917794,0.004619401101542667,0.46358974916415024,0.4572940228349723
Gradient boosting,Vote weekday,Vote weekday,0.005672516112112349,0.00726159381077467,0.46358974916415024,0.4579172330520379
Gradient boosting,CO2,CO2,0.004793110846586708,0.009408953856380308,0.46358974916415024,0.4587966383175635
Gradient boosting,Moment,Moment,0.0030350504352768203,0.007033042216766133,0.46358974916415024,0.46055469872887345
Gradient boosting,Vote hour,Vote hour,0.0028461285896137856,0.008633732975284287,0.46358974916415024,0.4607436205745364
Gradient boosting,Student,Student,0.0020609809266500046,0.0023959515107094625,0.46358974916415024,0.4615287682375002
Gradient boosting,Sound,Sound,0.0013782107209488936,0.006098255307038795,0.46358974916415024,0.46221153844320134
Gradient boosting,EA,EA,-0.000410218838883738,0.007138502599274604,0.46358974916415024,0.463999968003034
ANN / MLP,Gender,Gender,0.05266206110696382,0.021193938560428185,0.5173122267280693,0.46465016562110556
ANN / MLP,Age,Age,0.052281049058058235,0.017104678032493967,0.5173122267280693,0.4650311776700111
ANN / MLP,LocationFront,LocationFront,0.04866358630852539,0.016485612999225414,0.5173122267280693,0.46864864041954396
ANN / MLP,Student,Student,0.03748401073979488,0.010668715121150911,0.5173122267280693,0.4798282159882745
ANN / MLP,Vote weekday,Vote weekday,0.03656614305118655,0.015142838749860763,0.5173122267280693,0.4807460836768829
ANN / MLP,Lighting,Lighting,0.03647708996754539,0.01404825006565673,0.5173122267280693,0.480835136760524
ANN / MLP,LocationBack,LocationBack,0.036048265942130925,0.01680537797515678,0.5173122267280693,0.4812639607859384
ANN / MLP,LocationLeft,LocationLeft,0.03433163724763559,0.009304983154165362,0.5173122267280693,0.48298058948043376
ANN / MLP,RH,RH,0.03271012650254581,0.012718802715284102,0.5173122267280693,0.4846021002255236
ANN / MLP,LocationRight,LocationRight,0.03269554278626851,0.015948222858976145,0.5173122267280693,0.48461668394180085
ANN / MLP,CLO,CLO,0.03249950832786923,0.014616228678736002,0.5173122267280693,0.4848127184002001
ANN / MLP,LocationMiddle,LocationMiddle,0.0321924573692865,0.015508994035433741,0.5173122267280693,0.48511976935878287
ANN / MLP,Temperature,Temperature,0.031270445046828126,0.012295237919905158,0.5173122267280693,0.48604178168124124
ANN / MLP,AC on/off,AC on/off,0.030414741468642034,0.008192414597257886,0.5173122267280693,0.48689748525942733
ANN / MLP,EA,EA,0.02816450339950503,0.01224218663609931,0.5173122267280693,0.4891477233285644
ANN / MLP,Sound,Sound,0.02128158658662519,0.010455887103902793,0.5173122267280693,0.49603064014144416
ANN / MLP,CO2,CO2,0.011023667631139154,0.009402723495426396,0.5173122267280693,0.5062885590969303
ANN / MLP,Moment,Moment,0.004963843020078209,0.009493164272277059,0.5173122267280693,0.5123483837079912
ANN / MLP,Ttrend,Ttrend,0.004437958895762477,0.006968569985101431,0.5173122267280693,0.5128742678323069
ANN / MLP,Vote hour,Vote hour,0.001864217977673619,0.010469117340473087,0.5173122267280693,0.5154480087503958
