multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold
1.2,2.0,1.0,0.5569515739306247,0.6732238660380426,0.565568084187097,0.3438465290196716,0.22706422018348624,0.8010784901138406,0.6685615422639644,7
1.0,2.0,1.0,0.5403211672623812,0.6719232645098357,0.5519920689084957,0.3441716794017233,0.17889908256880735,0.8082684242061114,0.6688086999505685,7
1.5,1.2,1.0,0.6053317619842232,0.7271988294586246,0.600102139788969,0.30466590798244186,0.3967889908256881,0.5799880167765129,0.8235294117647058,8
1.2,1.2,1.0,0.6006991930540216,0.7301251828970899,0.5848755868274731,0.2968622988132011,0.32798165137614677,0.5991611743559018,0.8274839347503707,8
2.0,1.5,1.0,0.5993391609951869,0.7046008779060315,0.61244966955698,0.3285644610632418,0.43577981651376146,0.6423007789095266,0.759268413247652,8
1.2,1.0,1.0,0.5993165293927786,0.7337018370996586,0.5825397688711005,0.2993009266785889,0.36926605504587157,0.5152786099460755,0.8630746416213544,8
2.0,1.2,1.0,0.598675231241552,0.7182571939522029,0.612332148480135,0.32319947975938873,0.4724770642201835,0.5506291192330737,0.8138902619871478,8
1.5,1.0,1.0,0.5974200341416946,0.7291497317509348,0.5931797588977522,0.30873028775808814,0.42660550458715596,0.49430796884361894,0.8586258032624815,8
1.5,1.5,1.0,0.5955328627219426,0.7101284344009104,0.5922329616785263,0.31474556982604457,0.3394495412844037,0.67106051527861,0.7661888284725655,8
1.0,1.0,1.0,0.5935197172445649,0.7346772882458137,0.5693614152900275,0.2957242724760202,0.31422018348623854,0.5290593169562612,0.8648047454275828,8
1.0,1.2,1.0,0.5917555979455417,0.7301251828970899,0.5728754678033329,0.29604942285807184,0.28211009174311924,0.6075494307968844,0.828966880869995,8
2.0,1.0,1.0,0.5891277170572704,0.7189074947163063,0.6078093774286343,0.3305153633555519,0.5137614678899083,0.463151587777112,0.8465150766188828,8
2.5,1.5,1.0,0.5890169552636468,0.6958218175906357,0.6172803899389953,0.3480734839863437,0.48394495412844035,0.6165368484122229,0.7513593672763222,8
2.5,1.2,1.0,0.5889956988566364,0.708502682490652,0.6211869983083966,0.34465940497480085,0.5389908256880734,0.5200718993409227,0.8044982698961938,8
1.2,1.5,1.0,0.5848542151765871,0.7107787351650138,0.577173552621934,0.31181921638757926,0.2798165137614679,0.683043738765728,0.768660405338606,8
2.5,2.0,1.0,0.5817070159723435,0.6683466103072672,0.6096313689452905,0.3633555519427735,0.4288990825688073,0.732174955062912,0.6678200692041523,8
2.0,2.0,1.0,0.5807375022677923,0.6720858397008617,0.5958727559247236,0.35181271337993825,0.36009174311926606,0.7567405632115038,0.6707859614434009,8
2.5,1.0,1.0,0.5767182687479738,0.7081775321086002,0.6107565248512042,0.3505121118517314,0.5573394495412844,0.4397843019772319,0.8351458230350964,8
1.0,1.5,1.0,0.5756842565696495,0.7112664607380914,0.5663374003745815,0.3093805885221915,0.23623853211009174,0.6926303175554224,0.7701433514582303,8
1.5,2.0,1.0,0.5671499270561874,0.673874166802146,0.575177186510124,0.34563485612095596,0.27522935779816515,0.7753145596165368,0.6749876421156698,8
1.2,2.0,1.0,0.5534628434024226,0.6743618923752236,0.5608348661522632,0.34270850268249065,0.21788990825688073,0.7878969442780108,0.6767177459218982,8
1.0,2.0,1.0,0.5394849667549965,0.6733864412290684,0.5490007049761094,0.34205820191838726,0.17660550458715596,0.792690233672858,0.6777063766683143,8
1.5,1.0,1.0,0.6066257249037766,0.731100634043245,0.6033802143003143,0.30889286294911394,0.44495412844036697,0.5134811264230078,0.851705388037568,9
1.5,1.2,1.0,0.6045253535734112,0.7229718744919525,0.6018182781033272,0.3123069419606568,0.4105504587155963,0.578789694427801,0.8161146811665843,9
2.0,1.5,1.0,0.6030131920347835,0.7036254267598765,0.6188204889215722,0.3332791416029914,0.4541284403669725,0.6494907130017975,0.7528423133959466,9
2.0,1.2,1.0,0.6017983101597699,0.7167940172329702,0.616739526473673,0.3267761339619574,0.48623853211009177,0.5560215698022768,0.8079584775086506,9
1.2,1.0,1.0,0.5970735826972046,0.731100634043245,0.5842285576820857,0.3059665095106487,0.3738532110091743,0.5236668663870582,0.8551655956500247,9
2.0,1.0,1.0,0.596249407430831,0.7216712729637458,0.6135513140016635,0.32758900991708667,0.5137614678899083,0.4853205512282804,0.8415719228868018,9
1.0,1.0,1.0,0.5956745872314338,0.734352137863762,0.5740153579417111,0.29832547553243377,0.3256880733944954,0.536249251048532,0.8601087493821058,9
1.5,1.5,1.0,0.5954794854019502,0.7063892050073158,0.5954432033802696,0.32271175418631115,0.3577981651376147,0.6692630317555422,0.759268413247652,9
1.2,1.2,1.0,0.5954479112651995,0.7234596000650301,0.583852455139041,0.3085677125670623,0.3394495412844037,0.5937687237866986,0.8183391003460208,9
2.5,1.5,1.0,0.5919786321478925,0.6945212160624289,0.6221440241929743,0.3526255893350675,0.4954128440366973,0.6273217495506291,0.7436974789915967,9
2.5,1.2,1.0,0.5911034261798206,0.7067143553893676,0.6227447778717781,0.3485612095594212,0.5389908256880734,0.5326542840023967,0.7965892239248641,9
1.0,1.2,1.0,0.583614500588915,0.7229718744919525,0.5673731364651302,0.3054787839375711,0.28211009174311924,0.5979628520071899,0.8220464656450815,9
2.0,2.0,1.0,0.5826757606241197,0.6719232645098357,0.6010346887013018,0.3553893675825069,0.3761467889908257,0.7591372079089275,0.6678200692041523,9
2.5,1.0,1.0,0.582414065263248,0.7098032840188587,0.6166039002538396,0.35181271337993825,0.5596330275229358,0.46195326542840026,0.828225407810183,9
2.5,2.0,1.0,0.5823439701970581,0.6676963095431637,0.6137685363181529,0.36872053324662657,0.44036697247706424,0.7375674056321151,0.6633712308452793,9
1.2,1.5,1.0,0.5758325742723819,0.704113152332954,0.57194024584749,0.32271175418631115,0.2775229357798165,0.677052127022169,0.7612456747404844,9
1.0,1.5,1.0,0.5736996840468234,0.70622662981629,0.5663509297561763,0.3181596488375874,0.25,0.6848412222887957,0.764211566979733,9
