model,n_candidates_tested,total_grid_candidates,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,std_fit_time,params_json
Random Forest,288,288,224,0.5674079566927709,0.007272932079449527,0.7205157974896671,0.00496380981761291,0.5517032074766614,0.008861559276527263,3.2815279006958007,0.009182179118756852,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,253,0.5640408485609848,0.004687114739987932,0.719931002794376,0.005459081601083309,0.5476294302486708,0.004865563596478937,6.5929961681365965,0.01882776537313049,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,50,0.5807212440287324,0.008818854444343995,0.7134922632518655,0.006974047849522802,0.5762275978493752,0.012533267618027396,3.073449468612671,0.008426455186254924,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,55,0.5801488028285451,0.00982826040174796,0.7139311805891003,0.005567091578115341,0.5762389911615009,0.013493178377637763,6.246415042877198,0.14850957942801507,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,96,0.5775244042711964,0.005957819202227571,0.7112978907762024,0.006589249971007687,0.5761375914262726,0.010525433395451615,3.1033098220825197,0.04343925140608951,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,109,0.5764696294851601,0.010470266113381602,0.7108588663337121,0.0054691738141014875,0.5745560676973681,0.013545871128647476,6.195234680175782,0.07240032817361051,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,100,0.5770836508523957,0.009838058881329357,0.7079323223311245,0.005187193461788214,0.5784345385006424,0.0137424240015857,3.1862347602844237,0.07739908853226583,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,72,0.5792646882383536,0.010701620169943488,0.7095417930062411,0.005564423231235365,0.5797636314759868,0.01588043625350064,6.246396112442016,0.1301592908657007,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,123,0.5750556613232256,0.012064460574063358,0.696079947646951,0.008177527711473735,0.5915166320565705,0.01887218045447205,2.8182446002960204,0.05442785737763946,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,134,0.574560827290426,0.01391974251691167,0.6960800547522066,0.007589939717562654,0.5911074201806084,0.020268470480332288,5.610204553604126,0.0344475428426894,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
