fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
2,4,LocationFront,LocationFront,0.5862843521297402,0.5233209035087437,0.06296344862099645
2,5,LocationFront,LocationFront,0.5862843521297402,0.5112922965689849,0.07499205556075528
2,1,LocationLeft,LocationLeft,0.5862843521297402,0.5629333117259433,0.023351040403796874
2,2,LocationLeft,LocationLeft,0.5862843521297402,0.5545100364821345,0.03177431564760569
2,3,LocationLeft,LocationLeft,0.5862843521297402,0.542871354476885,0.04341299765285522
2,4,LocationLeft,LocationLeft,0.5862843521297402,0.5499333481461606,0.0363510039835796
2,5,LocationLeft,LocationLeft,0.5862843521297402,0.5456603441697315,0.040624007960008646
2,1,LocationRight,LocationRight,0.5862843521297402,0.5537257529491882,0.03255859918055193
2,2,LocationRight,LocationRight,0.5862843521297402,0.5652055581106428,0.021078794019097402
2,3,LocationRight,LocationRight,0.5862843521297402,0.5518533136478144,0.034431038481925746
2,4,LocationRight,LocationRight,0.5862843521297402,0.5561923843072255,0.030091967822514665
2,5,LocationRight,LocationRight,0.5862843521297402,0.5505746955765168,0.035709656553223335
2,1,LocationMiddle,LocationMiddle,0.5862843521297402,0.5615796272216671,0.024704724908073072
2,2,LocationMiddle,LocationMiddle,0.5862843521297402,0.5750586567726609,0.01122569535707929
2,3,LocationMiddle,LocationMiddle,0.5862843521297402,0.5625220552897883,0.023762296839951902
2,4,LocationMiddle,LocationMiddle,0.5862843521297402,0.5586033998014471,0.02768095232829304
2,5,LocationMiddle,LocationMiddle,0.5862843521297402,0.5708308327371614,0.015453519392578774
2,1,Ttrend,Ttrend,0.5862843521297402,0.5884484017204888,-0.0021640495907486734
2,2,Ttrend,Ttrend,0.5862843521297402,0.586802723834624,-0.0005183717048837799
2,3,Ttrend,Ttrend,0.5862843521297402,0.5861963996316003,8.795249813986494e-05
2,4,Ttrend,Ttrend,0.5862843521297402,0.5846724678844197,0.0016118842453204385
2,5,Ttrend,Ttrend,0.5862843521297402,0.5874358266238963,-0.0011514744941560906
2,1,Vote hour,Vote hour,0.5862843521297402,0.600559930218821,-0.014275578089080865
2,2,Vote hour,Vote hour,0.5862843521297402,0.5954972319256243,-0.009212879795884144
2,3,Vote hour,Vote hour,0.5862843521297402,0.5857148639323492,0.0005694881973909993
2,4,Vote hour,Vote hour,0.5862843521297402,0.6049866284246156,-0.01870227629487542
2,5,Vote hour,Vote hour,0.5862843521297402,0.5932689354863031,-0.0069845833565629345
