school_id,room_id,date,time,manuf_id,instr_id,co2_v,temp_v
no-1,11,2023-11-15,01:01,sdanlegg,schneider,383.0,18.4
no-1,11,2023-11-15,02:01,sdanlegg,schneider,383.0,18.0
no-1,11,2023-11-15,03:01,sdanlegg,schneider,382.0,18.6
no-1,11,2023-11-15,04:01,sdanlegg,schneider,387.0,18.0
no-1,11,2023-11-15,05:01,sdanlegg,schneider,385.0,18.6
no-1,11,2023-11-15,06:01,sdanlegg,schneider,382.0,18.0
no-1,11,2023-11-15,07:01,sdanlegg,schneider,401.0,19.8
no-1,11,2023-11-15,08:01,sdanlegg,schneider,809.0,21.4
no-1,11,2023-11-15,09:01,sdanlegg,schneider,764.0,22.4
no-1,11,2023-11-15,10:01,sdanlegg,schneider,793.0,22.5
no-1,11,2023-11-15,11:01,sdanlegg,schneider,670.0,21.9
no-1,11,2023-11-15,12:01,sdanlegg,schneider,387.0,21.8
no-1,11,2023-11-15,13:01,sdanlegg,schneider,452.0,21.8
no-1,11,2023-11-15,14:01,sdanlegg,schneider,404.0,21.6
no-1,11,2023-11-15,15:01,sdanlegg,schneider,395.0,20.4
no-1,11,2023-11-15,16:01,sdanlegg,schneider,399.0,19.8
no-1,11,2023-11-15,17:01,sdanlegg,schneider,385.0,19.3
no-1,11,2023-11-15,18:01,sdanlegg,schneider,408.0,18.8
no-1,11,2023-11-15,19:01,sdanlegg,schneider,387.0,18.8
no-1,11,2023-11-15,20:01,sdanlegg,schneider,383.0,18.3
no-1,11,2023-11-15,21:01,sdanlegg,schneider,384.0,17.9
no-1,11,2023-11-15,22:01,sdanlegg,schneider,390.0,18.8
no-1,11,2023-11-15,23:01,sdanlegg,schneider,389.0,18.1
no-1,11,2023-11-16,00:01,sdanlegg,schneider,392.0,18.1
no-1,11,2023-11-16,01:01,sdanlegg,schneider,414.0,18.1
no-1,11,2023-11-16,02:01,sdanlegg,schneider,399.0,18.2
no-1,11,2023-11-16,03:01,sdanlegg,schneider,381.0,18.1
no-1,11,2023-11-16,04:01,sdanlegg,schneider,386.0,18.5
no-1,11,2023-11-16,05:01,sdanlegg,schneider,384.0,17.9
no-1,11,2023-11-16,06:01,sdanlegg,schneider,378.0,18.4
no-1,11,2023-11-16,07:01,sdanlegg,schneider,380.0,19.8
no-1,11,2023-11-16,08:01,sdanlegg,schneider,731.0,21.3
no-1,11,2023-11-16,09:01,sdanlegg,schneider,743.0,22.4
no-1,11,2023-11-16,10:01,sdanlegg,schneider,851.0,22.4
no-1,11,2023-11-16,11:01,sdanlegg,schneider,778.0,22.0
no-1,11,2023-11-16,12:01,sdanlegg,schneider,679.0,22.5
no-1,11,2023-11-16,14:01,sdanlegg,schneider,441.0,22.2
no-1,11,2023-11-16,15:01,sdanlegg,schneider,557.0,21.7
no-1,11,2023-11-16,16:01,sdanlegg,schneider,451.0,20.4
no-1,11,2023-11-16,17:01,sdanlegg,schneider,361.0,19.9
no-1,11,2023-11-16,18:01,sdanlegg,schneider,399.0,19.3
no-1,11,2023-11-16,19:01,sdanlegg,schneider,387.0,18.7
no-1,11,2023-11-16,20:01,sdanlegg,schneider,392.0,18.4
no-1,11,2023-11-16,21:01,sdanlegg,schneider,390.0,18.0
no-1,11,2023-11-16,22:01,sdanlegg,schneider,385.0,17.8
no-1,11,2023-11-16,23:01,sdanlegg,schneider,402.0,18.5
no-1,11,2023-11-17,00:01,sdanlegg,schneider,394.0,17.9
no-1,11,2023-11-17,01:01,sdanlegg,schneider,401.0,18.6
no-1,11,2023-11-17,02:01,sdanlegg,schneider,391.0,17.9
no-1,11,2023-11-17,03:01,sdanlegg,schneider,392.0,18.6
no-1,11,2023-11-17,04:01,sdanlegg,schneider,387.0,17.8
no-1,11,2023-11-17,05:01,sdanlegg,schneider,387.0,18.4
no-1,11,2023-11-17,06:01,sdanlegg,schneider,387.0,17.8
no-1,11,2023-11-17,07:01,sdanlegg,schneider,388.0,19.7
no-1,11,2023-11-17,08:01,sdanlegg,schneider,596.0,20.8
no-1,11,2023-11-17,09:01,sdanlegg,schneider,816.0,22.3
no-1,11,2023-11-17,10:01,sdanlegg,schneider,903.0,22.3
