model,domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
Gradient boosting,Vote hour,Vote hour,0.002581841046124691,0.004952476232901091,0.49761797841737104,0.4950361373712464
Gradient boosting,Vote weekday,Vote weekday,0.0016566513923510385,0.005786792830298853,0.49761797841737104,0.49596132702502005
Gradient boosting,LocationRight,LocationRight,0.0011994862025631492,0.005675246112912977,0.49761797841737104,0.496418492214808
Gradient boosting,EA,EA,0.001141848490210524,0.00955573737226564,0.49761797841737104,0.49647612992716056
Gradient boosting,Student,Student,0.0009951928209362547,0.0027697427609720835,0.49761797841737104,0.4966227855964348
Gradient boosting,Ttrend,Ttrend,-0.0017508595538873405,0.008544961114264586,0.49761797841737104,0.4993688379712584
ANN / MLP,LocationFront,LocationFront,0.04733749081244305,0.014346463860837638,0.4954578523278995,0.4481203615154565
ANN / MLP,Age,Age,0.044534154950304626,0.017926375892296807,0.4954578523278995,0.4509236973775949
ANN / MLP,CLO,CLO,0.041945353492754904,0.01737595828302239,0.4954578523278995,0.4535124988351446
ANN / MLP,Gender,Gender,0.03897747450167088,0.011090415628908019,0.4954578523278995,0.45648037782622863
ANN / MLP,LocationRight,LocationRight,0.03686703665339659,0.009746865440631155,0.4954578523278995,0.45859081567450294
ANN / MLP,LocationBack,LocationBack,0.0344720573671117,0.013185239413681164,0.4954578523278995,0.46098579496078784
ANN / MLP,RH,RH,0.03201972367447163,0.01958408414331309,0.4954578523278995,0.4634381286534279
ANN / MLP,LocationMiddle,LocationMiddle,0.03138824327911323,0.013963682174093956,0.4954578523278995,0.4640696090487863
ANN / MLP,LocationLeft,LocationLeft,0.02944927771393286,0.01358439599841296,0.4954578523278995,0.4660085746139667
ANN / MLP,Temperature,Temperature,0.026328186229820236,0.01179072526706628,0.4954578523278995,0.4691296660980793
ANN / MLP,Vote weekday,Vote weekday,0.026188186588950613,0.010868655747774672,0.4954578523278995,0.46926966573894896
ANN / MLP,Student,Student,0.026052192603091776,0.006493923548228617,0.4954578523278995,0.46940565972480774
ANN / MLP,Sound,Sound,0.01991837937546234,0.018133140573011578,0.4954578523278995,0.47553947295243715
ANN / MLP,Lighting,Lighting,0.01869348392027558,0.016800255276446553,0.4954578523278995,0.476764368407624
ANN / MLP,CO2,CO2,0.01793087689617425,0.0180478291479427,0.4954578523278995,0.4775269754317253
ANN / MLP,EA,EA,0.014109627475940906,0.015876963072925836,0.4954578523278995,0.4813482248519586
ANN / MLP,Ttrend,Ttrend,0.012170985327237554,0.011080259996779947,0.4954578523278995,0.483286867000662
ANN / MLP,AC on/off,AC on/off,0.011404104603265448,0.006144116458651499,0.4954578523278995,0.4840537477246341
ANN / MLP,Moment,Moment,0.008646748315046804,0.014304051374089456,0.4954578523278995,0.4868111040128527
ANN / MLP,Vote hour,Vote hour,-0.0009780684980341015,0.009334671641068059,0.4954578523278995,0.49643592082593363
