model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,1,5,Vote weekday,Vote weekday,0.4061541162988429,0.3995845734590271,0.006569542839815812
Logistic regression,1,1,Moment,Moment,0.4061541162988429,0.4009042693883296,0.005249846910513278
Logistic regression,1,2,Moment,Moment,0.4061541162988429,0.3996544435254113,0.006499672773431608
Logistic regression,1,3,Moment,Moment,0.4061541162988429,0.3916477384669961,0.014506377831846828
Logistic regression,1,4,Moment,Moment,0.4061541162988429,0.3941726371611159,0.011981479137727014
Logistic regression,1,5,Moment,Moment,0.4061541162988429,0.39793281653746765,0.008221299761375256
Logistic regression,1,1,AC on/off,AC on/off,0.4061541162988429,0.390792249067556,0.015361867231286908
Logistic regression,1,2,AC on/off,AC on/off,0.4061541162988429,0.3917716994766723,0.014382416822170618
Logistic regression,1,3,AC on/off,AC on/off,0.4061541162988429,0.3975579247710395,0.008596191527803387
Logistic regression,1,4,AC on/off,AC on/off,0.4061541162988429,0.38756974573989983,0.018584370558943075
Logistic regression,1,5,AC on/off,AC on/off,0.4061541162988429,0.38350611938126056,0.022647996917582347
Logistic regression,2,1,Student,Student,0.38583240677008873,0.37672556232810755,0.009106844441981177
Logistic regression,2,2,Student,Student,0.38583240677008873,0.3800577556799449,0.005774651090143856
Logistic regression,2,3,Student,Student,0.38583240677008873,0.3797398692326331,0.0060925375374556445
Logistic regression,2,4,Student,Student,0.38583240677008873,0.3785107992004544,0.0073216075696343474
Logistic regression,2,5,Student,Student,0.38583240677008873,0.37246505299980787,0.013367353770280865
Logistic regression,2,1,Temperature,Temperature,0.38583240677008873,0.3610393390259173,0.02479306774417145
Logistic regression,2,2,Temperature,Temperature,0.38583240677008873,0.3653869999702879,0.020445406799800836
Logistic regression,2,3,Temperature,Temperature,0.38583240677008873,0.35997297430351716,0.025859432466571575
Logistic regression,2,4,Temperature,Temperature,0.38583240677008873,0.3723289156012824,0.013503491168806336
Logistic regression,2,5,Temperature,Temperature,0.38583240677008873,0.35482617676078326,0.03100623000930547
Logistic regression,2,1,RH,RH,0.38583240677008873,0.38077830885767955,0.005054097912409183
Logistic regression,2,2,RH,RH,0.38583240677008873,0.38501507510501964,0.0008173316650690876
Logistic regression,2,3,RH,RH,0.38583240677008873,0.3845110387611572,0.0013213680089315116
Logistic regression,2,4,RH,RH,0.38583240677008873,0.3768675850165562,0.008964821753532526
Logistic regression,2,5,RH,RH,0.38583240677008873,0.37872614403843197,0.007106262731656765
Logistic regression,2,1,CLO,CLO,0.38583240677008873,0.3814798966103556,0.004352510159733147
Logistic regression,2,2,CLO,CLO,0.38583240677008873,0.38729171386902556,-0.001459307098936824
Logistic regression,2,3,CLO,CLO,0.38583240677008873,0.38640130426266156,-0.0005688974925728285
Logistic regression,2,4,CLO,CLO,0.38583240677008873,0.3860560503488066,-0.00022364357871784701
Logistic regression,2,5,CLO,CLO,0.38583240677008873,0.38590802163414817,-7.561486405943674e-05
Logistic regression,2,1,CO2,CO2,0.38583240677008873,0.38754784617302485,-0.0017154394029361142
Logistic regression,2,2,CO2,CO2,0.38583240677008873,0.38171148517847336,0.004120921591615367
Logistic regression,2,3,CO2,CO2,0.38583240677008873,0.38503225369379535,0.0008001530762933862
Logistic regression,2,4,CO2,CO2,0.38583240677008873,0.38357390640996236,0.00225850036012637
Logistic regression,2,5,CO2,CO2,0.38583240677008873,0.3881478751384552,-0.002315468368366491
Logistic regression,2,1,Lighting,Lighting,0.38583240677008873,0.38474091851212194,0.0010914882579667884
Logistic regression,2,2,Lighting,Lighting,0.38583240677008873,0.39122540316614884,-0.005392996396060112
Logistic regression,2,3,Lighting,Lighting,0.38583240677008873,0.38782902177419026,-0.001996615004101532
Logistic regression,2,4,Lighting,Lighting,0.38583240677008873,0.38486591791639974,0.000966488853688996
Logistic regression,2,5,Lighting,Lighting,0.38583240677008873,0.38799777733092294,-0.002165370560834212
Logistic regression,2,1,Sound,Sound,0.38583240677008873,0.3837360623874035,0.0020963443826852446
Logistic regression,2,2,Sound,Sound,0.38583240677008873,0.38900686523056643,-0.0031744584604777026
Logistic regression,2,3,Sound,Sound,0.38583240677008873,0.3849617875689553,0.0008706192011334046
Logistic regression,2,4,Sound,Sound,0.38583240677008873,0.3865780047477845,-0.0007455979776957444
Logistic regression,2,5,Sound,Sound,0.38583240677008873,0.3791330282821257,0.006699378487963037
Logistic regression,2,1,Age,Age,0.38583240677008873,0.38509501210624,0.0007373946638487561
Logistic regression,2,2,Age,Age,0.38583240677008873,0.3886649563547122,-0.0028325495846234783
Logistic regression,2,3,Age,Age,0.38583240677008873,0.3880899527489452,-0.002257545978856468
Logistic regression,2,4,Age,Age,0.38583240677008873,0.38345541858885346,0.0023769881812352733
Logistic regression,2,5,Age,Age,0.38583240677008873,0.3849690331016822,0.0008633736684065529
Logistic regression,2,1,Gender,Gender,0.38583240677008873,0.3754243461896383,0.010408060580450407
